PT. BANK RAKYAT INDONESIA (PERSERO) TBK.,,,,,,,,,,,,,,,,,,BANK BRI,
"Jl. Jenderal Sudirman Kav. 44-46, Jakarta 10210",,,,,,,,,,,,,,,,,,,
"Telp. 021-5758965, 45, 64, 46   Fax. 021-5700914",,,,,,,,,,,,,,,Melayani  Dengan  Setulus  Hati,,,,
Account Statement,,,,,,,,,,,,,,,,,,,
Account No,,,:,0206-01-006511-30-6 ,,,,,,,,,,,,,,,
Account Name,,,:,PT LINTAS MARGA SEDAYA,,,,,,,,,,,,,,,
Account Status,,,:,Active,,,,,,,,,,,,,,,
Today Hold Balance,,,:,0.00,,,,,,,,,,,,,,,
Period,,,:,01/01/2021 - 18/01/2021,,,,,,,,,,,,,,,
DATE,TIME,REMARK,,,,DEBET,,,CREDIT,,Ledger,,,TELLER ID,,,,,
18/01/21,05:14:27,EMONEYSETTLE10238919 17/01/21 67 ,,,,0.00,,,"600,000.00",,"17,597,616,902.00",,,0852079   ,,,,,
18/01/21,05:14:27,EMONEYSETTLE10238924 17/01/21 88 ,,,,0.00,,,"104,000.00",,"17,597,016,902.00",,,0852038   ,,,,,
18/01/21,05:14:27,EMONEYSETTLE10238918 17/01/21 67 ,,,,0.00,,,"105,000.00",,"17,596,912,902.00",,,0852046   ,,,,,
18/01/21,05:14:27,EMONEYSETTLE11011409 17/01/21 47 ,,,,0.00,,,"168,500.00",,"17,596,807,902.00",,,0852048   ,,,,,
18/01/21,05:14:26,EMONEYSETTLE10238919 17/01/21 68 ,,,,0.00,,,"28,500.00",,"17,596,639,402.00",,,0852079   ,,,,,
18/01/21,05:14:24,EMONEYSETTLE10238920 17/01/21 57 ,,,,0.00,,,"107,500.00",,"17,596,610,902.00",,,0852052   ,,,,,
18/01/21,05:14:23,EMONEYSETTLE11011413 17/01/21 44 ,,,,0.00,,,"17,500.00",,"17,596,503,402.00",,,0852052   ,,,,,
18/01/21,05:14:23,EMONEYSETTLE10238919 17/01/21 65 ,,,,0.00,,,"310,500.00",,"17,596,485,902.00",,,0852079   ,,,,,
18/01/21,05:14:22,EMONEYSETTLE10238919 17/01/21 66 ,,,,0.00,,,"303,000.00",,"17,596,175,402.00",,,0852079   ,,,,,
18/01/21,03:18:44,000001929570116 10098575 170121 02 00027 ,,,,0.00,,,"1,606,500.00",,"17,595,872,402.00",,,0852096   ,,,,,
18/01/21,03:18:44,000001929570116 10098578 170121 00 00005 ,,,,0.00,,,"310,000.00",,"17,594,265,902.00",,,0852096   ,,,,,
18/01/21,03:18:44,000001929570116 10098577 170121 00 00006 ,,,,0.00,,,"434,500.00",,"17,593,955,902.00",,,0852096   ,,,,,
18/01/21,03:18:43,000001929570116 10098577 170121 02 00009 ,,,,0.00,,,"504,000.00",,"17,593,521,402.00",,,0852096   ,,,,,
18/01/21,03:18:43,000001929570116 10098575 170121 00 00023 ,,,,0.00,,,"2,136,500.00",,"17,593,017,402.00",,,0852096   ,,,,,
18/01/21,03:18:02,000001984600000 10098361 170121 00 00006 ,,,,0.00,,,"183,500.00",,"17,590,880,902.00",,,0852093   ,,,,,
18/01/21,03:18:02,000001984600000 10098360 170121 00 00010 ,,,,0.00,,,"283,500.00",,"17,590,697,402.00",,,0852093   ,,,,,
18/01/21,03:18:02,000001984600000 10098360 170121 02 00039 ,,,,0.00,,,"1,129,500.00",,"17,590,413,902.00",,,0852093   ,,,,,
18/01/21,03:18:02,000001984600000 10098361 170121 02 00026 ,,,,0.00,,,"707,500.00",,"17,589,284,402.00",,,0852093   ,,,,,
18/01/21,03:16:04,000001984600002 10098414 170121 02 00012 ,,,,0.00,,,"687,000.00",,"17,588,576,902.00",,,0852080   ,,,,,
18/01/21,03:16:04,000001984600002 10098413 170121 00 00047 ,,,,0.00,,,"2,800,500.00",,"17,587,889,902.00",,,0852080   ,,,,,
18/01/21,03:16:04,000001984600002 10098414 170121 00 00021 ,,,,0.00,,,"1,007,000.00",,"17,585,089,402.00",,,0852080   ,,,,,
18/01/21,03:16:04,000001984600002 10098413 170121 02 00020 ,,,,0.00,,,"921,500.00",,"17,584,082,402.00",,,0852080   ,,,,,
18/01/21,03:15:24,000001984600003 10098418 170121 00 00019 ,,,,0.00,,,"1,104,000.00",,"17,583,160,902.00",,,0852076   ,,,,,
18/01/21,03:15:24,000001984600003 10098415 170121 00 00037 ,,,,0.00,,,"2,126,500.00",,"17,582,056,902.00",,,0852076   ,,,,,
18/01/21,03:15:24,000001984600003 10098418 170121 02 00030 ,,,,0.00,,,"1,564,500.00",,"17,579,930,402.00",,,0852076   ,,,,,
18/01/21,03:15:24,000001984600003 10098415 170121 02 00051 ,,,,0.00,,,"3,008,000.00",,"17,578,365,902.00",,,0852076   ,,,,,
18/01/21,03:13:10,000001929570262 10666170 170121 02 00007 ,,,,0.00,,,"432,500.00",,"17,575,357,902.00",,,0852057   ,,,,,
18/01/21,03:13:10,000001929570262 10666172 170121 00 00013 ,,,,0.00,,,"1,251,000.00",,"17,574,925,402.00",,,0852057   ,,,,,
18/01/21,03:13:10,000001929570262 10666169 170121 00 00007 ,,,,0.00,,,"649,500.00",,"17,573,674,402.00",,,0852057   ,,,,,
18/01/21,03:13:10,000001929570262 10666158 170121 00 00002 ,,,,0.00,,,"215,000.00",,"17,573,024,902.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666158 170121 02 00047 ,,,,0.00,,,"4,101,500.00",,"17,572,809,902.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666154 170121 02 00037 ,,,,0.00,,,"3,348,500.00",,"17,568,708,402.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666155 170121 02 00031 ,,,,0.00,,,"2,758,500.00",,"17,565,359,902.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666156 170121 00 00005 ,,,,0.00,,,"300,000.00",,"17,562,601,402.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666165 170121 00 00004 ,,,,0.00,,,"373,000.00",,"17,562,301,402.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666154 170121 00 00021 ,,,,0.00,,,"2,313,000.00",,"17,561,928,402.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666155 170121 00 00011 ,,,,0.00,,,"990,000.00",,"17,559,615,402.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666152 170121 00 00028 ,,,,0.00,,,"2,754,000.00",,"17,558,625,402.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666156 170121 02 00044 ,,,,0.00,,,"3,726,000.00",,"17,555,871,402.00",,,0852057   ,,,,,
18/01/21,03:13:09,000001929570262 10666157 170121 00 00011 ,,,,0.00,,,"996,000.00",,"17,552,145,402.00",,,0852057   ,,,,,
18/01/21,03:13:08,000001929570262 10666167 170121 00 00005 ,,,,0.00,,,"380,500.00",,"17,551,149,402.00",,,0852057   ,,,,,
18/01/21,03:13:08,000001929570262 10666153 170121 00 00032 ,,,,0.00,,,"3,125,500.00",,"17,550,768,902.00",,,0852057   ,,,,,
18/01/21,03:13:08,000001929570262 10666172 170121 02 00009 ,,,,0.00,,,"774,000.00",,"17,547,643,402.00",,,0852057   ,,,,,
18/01/21,03:13:08,000001929570262 10666170 170121 00 00015 ,,,,0.00,,,"1,415,000.00",,"17,546,869,402.00",,,0852057   ,,,,,
18/01/21,03:13:08,000001929570262 10666166 170121 00 00006 ,,,,0.00,,,"505,500.00",,"17,545,454,402.00",,,0852057   ,,,,,
18/01/21,03:13:07,000001929570262 10666157 170121 02 00034 ,,,,0.00,,,"3,256,500.00",,"17,544,948,902.00",,,0852057   ,,,,,
18/01/21,03:13:07,000001929570262 10666171 170121 00 00026 ,,,,0.00,,,"2,410,500.00",,"17,541,692,402.00",,,0852057   ,,,,,
18/01/21,03:12:26,000001984600001 10098390 170121 00 00022 ,,,,0.00,,,"859,500.00",,"17,539,281,902.00",,,0852052   ,,,,,
18/01/21,03:12:26,000001984600001 10098391 170121 00 00076 ,,,,0.00,,,"2,935,500.00",,"17,538,422,402.00",,,0852052   ,,,,,
18/01/21,03:12:26,000001984600001 10098392 170121 00 00057 ,,,,0.00,,,"2,252,000.00",,"17,535,486,902.00",,,0852052   ,,,,,
18/01/21,03:12:26,000001984600001 10098390 170121 02 00012 ,,,,0.00,,,"491,000.00",,"17,533,234,902.00",,,0852052   ,,,,,
18/01/21,03:08:27,000001984600004 10098429 170121 00 00052 ,,,,0.00,,,"1,795,000.00",,"17,532,743,902.00",,,0852030   ,,,,,
18/01/21,03:08:27,000001984600004 10098430 170121 00 00019 ,,,,0.00,,,"356,500.00",,"17,530,948,902.00",,,0852030   ,,,,,
18/01/21,03:08:27,000001984600004 10098430 170121 02 00006 ,,,,0.00,,,"171,000.00",,"17,530,592,402.00",,,0852030   ,,,,,
18/01/21,03:08:27,000001984600004 10098429 170121 02 00004 ,,,,0.00,,,"303,000.00",,"17,530,421,402.00",,,0852030   ,,,,,
18/01/21,03:07:11,000001984600005 10098455 170121 00 00037 ,,,,0.00,,,"3,677,000.00",,"17,530,118,402.00",,,0852025   ,,,,,
18/01/21,03:07:11,000001984600005 10098451 170121 00 00059 ,,,,0.00,,,"5,546,000.00",,"17,526,441,402.00",,,0852025   ,,,,,
18/01/21,03:07:11,000001984600005 10098453 170121 00 00061 ,,,,0.00,,,"4,964,500.00",,"17,520,895,402.00",,,0852025   ,,,,,
18/01/21,03:07:11,000001984600005 10098454 170121 00 00004 ,,,,0.00,,,"242,000.00",,"17,515,930,902.00",,,0852025   ,,,,,
18/01/21,03:07:11,000001984600005 10098454 170121 02 00082 ,,,,0.00,,,"7,558,000.00",,"17,515,688,902.00",,,0852025   ,,,,,
18/01/21,03:07:11,000001984600005 10098453 170121 02 00129 ,,,,0.00,,,"10,456,000.00",,"17,508,130,902.00",,,0852025   ,,,,,
18/01/21,03:07:11,000001984600005 10098451 170121 02 00020 ,,,,0.00,,,"1,906,000.00",,"17,497,674,902.00",,,0852025   ,,,,,
17/01/21,20:05:11,000001984600005 10098454 170121 01 00003 ,,,,0.00,,,"322,500.00",,"17,495,768,902.00",,,0852025   ,,,,,
17/01/21,20:05:10,000001984600000 10098360 170121 01 00004 ,,,,0.00,,,"56,500.00",,"17,495,446,402.00",,,0852093   ,,,,,
17/01/21,20:05:10,000001984600000 10098361 170121 01 00004 ,,,,0.00,,,"114,500.00",,"17,495,389,902.00",,,0852093   ,,,,,
17/01/21,20:05:10,000001984600001 10098391 170121 00 00025 ,,,,0.00,,,"1,021,500.00",,"17,495,275,402.00",,,0852052   ,,,,,
17/01/21,20:05:10,000001984600001 10098392 170121 00 00021 ,,,,0.00,,,"1,009,000.00",,"17,494,253,902.00",,,0852052   ,,,,,
17/01/21,20:05:10,000001984600001 10098392 170121 01 00012 ,,,,0.00,,,"490,000.00",,"17,493,244,902.00",,,0852052   ,,,,,
17/01/21,20:05:10,000001984600001 10098390 170121 01 00021 ,,,,0.00,,,"595,000.00",,"17,492,754,902.00",,,0852052   ,,,,,
17/01/21,20:05:10,000001984600001 10098391 170121 01 00030 ,,,,0.00,,,"998,000.00",,"17,492,159,902.00",,,0852052   ,,,,,
17/01/21,20:05:10,000001984600002 10098413 170121 00 00068 ,,,,0.00,,,"3,555,500.00",,"17,491,161,902.00",,,0852080   ,,,,,
17/01/21,20:05:10,000001984600002 10098414 170121 00 00032 ,,,,0.00,,,"1,742,500.00",,"17,487,606,402.00",,,0852080   ,,,,,
17/01/21,20:05:10,000001984600002 10098414 170121 01 00005 ,,,,0.00,,,"215,500.00",,"17,485,863,902.00",,,0852080   ,,,,,
17/01/21,20:05:10,000001984600003 10098418 170121 00 00029 ,,,,0.00,,,"1,496,000.00",,"17,485,648,402.00",,,0852076   ,,,,,
17/01/21,20:05:10,000001984600003 10098415 170121 00 00026 ,,,,0.00,,,"1,722,500.00",,"17,484,152,402.00",,,0852076   ,,,,,
17/01/21,20:05:10,000001984600003 10098415 170121 01 00030 ,,,,0.00,,,"1,384,500.00",,"17,482,429,902.00",,,0852076   ,,,,,
17/01/21,20:05:10,000001984600004 10098430 170121 00 00008 ,,,,0.00,,,"126,000.00",,"17,481,045,402.00",,,0852030   ,,,,,
17/01/21,20:05:10,000001984600004 10098429 170121 00 00017 ,,,,0.00,,,"667,500.00",,"17,480,919,402.00",,,0852030   ,,,,,
17/01/21,20:05:10,000001984600004 10098430 170121 01 00009 ,,,,0.00,,,"202,500.00",,"17,480,251,902.00",,,0852030   ,,,,,
17/01/21,20:05:10,000001984600004 10098429 170121 01 00016 ,,,,0.00,,,"475,500.00",,"17,480,049,402.00",,,0852030   ,,,,,
17/01/21,20:05:10,000001984600005 10098453 170121 00 00174 ,,,,0.00,,,"13,299,000.00",,"17,479,573,902.00",,,0852025   ,,,,,
17/01/21,20:05:10,000001984600005 10098451 170121 00 00065 ,,,,0.00,,,"4,893,500.00",,"17,466,274,902.00",,,0852025   ,,,,,
17/01/21,20:05:10,000001984600005 10098454 170121 00 00085 ,,,,0.00,,,"6,579,500.00",,"17,461,381,402.00",,,0852025   ,,,,,
17/01/21,20:05:10,000001984600005 10098455 170121 00 00035 ,,,,0.00,,,"2,892,000.00",,"17,454,801,902.00",,,0852025   ,,,,,
17/01/21,20:05:10,000001984600005 10098453 170121 01 00013 ,,,,0.00,,,"884,500.00",,"17,451,909,902.00",,,0852025   ,,,,,
17/01/21,20:05:09,000001984600000 10098360 170121 00 00027 ,,,,0.00,,,"1,028,000.00",,"17,451,025,402.00",,,0852093   ,,,,,
17/01/21,20:05:09,000001984600000 10098361 170121 00 00026 ,,,,0.00,,,"1,019,500.00",,"17,449,997,402.00",,,0852093   ,,,,,
17/01/21,15:45:50,000001929570262 10666157 170121 01 00027 ,,,,0.00,,,"2,015,000.00",,"17,448,977,902.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666171 170121 00 00016 ,,,,0.00,,,"1,456,000.00",,"17,446,962,902.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666155 170121 00 00017 ,,,,0.00,,,"1,673,500.00",,"17,445,506,902.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666155 170121 01 00003 ,,,,0.00,,,"221,500.00",,"17,443,833,402.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666152 170121 00 00008 ,,,,0.00,,,"657,000.00",,"17,443,611,902.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666158 170121 01 00034 ,,,,0.00,,,"2,790,500.00",,"17,442,954,902.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666154 170121 00 00040 ,,,,0.00,,,"3,715,500.00",,"17,440,164,402.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666157 170121 00 00022 ,,,,0.00,,,"1,917,500.00",,"17,436,448,902.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666172 170121 00 00011 ,,,,0.00,,,"1,035,000.00",,"17,434,531,402.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666158 170121 00 00005 ,,,,0.00,,,"310,000.00",,"17,433,496,402.00",,,0852057   ,,,,,
17/01/21,15:45:50,000001929570262 10666169 170121 00 00001 ,,,,0.00,,,"79,000.00",,"17,433,186,402.00",,,0852057   ,,,,,
17/01/21,15:45:49,000001929570262 10666156 170121 00 00029 ,,,,0.00,,,"2,224,500.00",,"17,433,107,402.00",,,0852057   ,,,,,
17/01/21,15:45:49,000001929570262 10666156 170121 01 00022 ,,,,0.00,,,"1,827,000.00",,"17,430,882,902.00",,,0852057   ,,,,,
17/01/21,15:45:49,000001929570262 10666153 170121 00 00023 ,,,,0.00,,,"2,728,000.00",,"17,429,055,902.00",,,0852057   ,,,,,
17/01/21,15:45:49,000001929570262 10666170 170121 00 00008 ,,,,0.00,,,"723,000.00",,"17,426,327,902.00",,,0852057   ,,,,,
17/01/21,14:46:35,000001929570116 10098575 170121 00 00023 ,,,,0.00,,,"2,121,500.00",,"17,425,604,902.00",,,0852096   ,,,,,
17/01/21,14:46:35,000001929570116 10098577 170121 00 00013 ,,,,0.00,,,"851,500.00",,"17,423,483,402.00",,,0852096   ,,,,,
17/01/21,14:46:35,000001929570116 10098575 170121 01 00011 ,,,,0.00,,,"476,000.00",,"17,422,631,902.00",,,0852096   ,,,,,
17/01/21,14:46:35,000001929570116 10098578 170121 00 00001 ,,,,0.00,,,"25,000.00",,"17,422,155,902.00",,,0852096   ,,,,,
17/01/21,13:49:28,000001984600004 10098429 170121 00 00008 ,,,,0.00,,,"357,000.00",,"17,422,130,902.00",,,0852030   ,,,,,
17/01/21,13:49:28,000001984600004 10098430 170121 00 00003 ,,,,0.00,,,"120,500.00",,"17,421,773,902.00",,,0852030   ,,,,,
17/01/21,13:49:28,000001984600005 10098451 170121 00 00032 ,,,,0.00,,,"2,983,000.00",,"17,421,653,402.00",,,0852025   ,,,,,
17/01/21,13:49:28,000001984600005 10098453 170121 00 00007 ,,,,0.00,,,"551,500.00",,"17,418,670,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600002 10098413 160121 00 00013 ,,,,0.00,,,"671,500.00",,"17,418,118,902.00",,,0852080   ,,,,,
17/01/21,13:49:27,000001984600003 10098418 160121 00 00005 ,,,,0.00,,,"193,000.00",,"17,417,447,402.00",,,0852076   ,,,,,
17/01/21,13:49:27,000001984600003 10098415 160121 00 00002 ,,,,0.00,,,"158,000.00",,"17,417,254,402.00",,,0852076   ,,,,,
17/01/21,13:49:27,000001984600003 10098415 160121 03 00031 ,,,,0.00,,,"2,200,500.00",,"17,417,096,402.00",,,0852076   ,,,,,
17/01/21,13:49:27,000001984600004 10098430 160121 00 00004 ,,,,0.00,,,"143,000.00",,"17,414,895,902.00",,,0852030   ,,,,,
17/01/21,13:49:27,000001984600004 10098429 160121 00 00004 ,,,,0.00,,,"339,000.00",,"17,414,752,902.00",,,0852030   ,,,,,
17/01/21,13:49:27,000001984600005 10098451 160121 02 00001 ,,,,0.00,,,"107,500.00",,"17,414,413,902.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098453 160121 00 00048 ,,,,0.00,,,"3,167,000.00",,"17,414,306,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098454 160121 02 00001 ,,,,0.00,,,"107,500.00",,"17,411,139,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098453 160121 02 00001 ,,,,0.00,,,"107,500.00",,"17,411,031,902.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098454 160121 00 00001 ,,,,0.00,,,"72,000.00",,"17,410,924,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098451 160121 00 00012 ,,,,0.00,,,"1,196,000.00",,"17,410,852,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098454 160121 03 00041 ,,,,0.00,,,"3,293,000.00",,"17,409,656,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098455 160121 03 00009 ,,,,0.00,,,"370,000.00",,"17,406,363,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600005 10098453 160121 03 00065 ,,,,0.00,,,"5,991,500.00",,"17,405,993,402.00",,,0852025   ,,,,,
17/01/21,13:49:27,000001984600000 10098360 170121 00 00012 ,,,,0.00,,,"588,500.00",,"17,400,001,902.00",,,0852093   ,,,,,
17/01/21,13:49:27,000001984600001 10098391 170121 00 00020 ,,,,0.00,,,"1,251,500.00",,"17,399,413,402.00",,,0852052   ,,,,,
17/01/21,13:49:27,000001984600001 10098390 170121 00 00001 ,,,,0.00,,,"72,000.00",,"17,398,161,902.00",,,0852052   ,,,,,
17/01/21,13:49:27,000001984600001 10098392 170121 00 00010 ,,,,0.00,,,"530,000.00",,"17,398,089,902.00",,,0852052   ,,,,,
17/01/21,13:49:27,000001984600002 10098414 170121 00 00003 ,,,,0.00,,,"89,500.00",,"17,397,559,902.00",,,0852080   ,,,,,
17/01/21,13:49:27,000001984600002 10098413 170121 00 00004 ,,,,0.00,,,"162,500.00",,"17,397,470,402.00",,,0852080   ,,,,,
